25
-6.000, 5468.000, 1.000, 1.000, 0.000, 0.000
-5.500, 3898.750, 1.000, 1.000, 0.000, 0.000
-5.000, 2697.000, 1.000, 1.000, 0.000, 0.000
-4.500, 1799.750, 1.000, 1.000, 0.000, 0.000
-4.000, 1150.000, 1.000, 1.000, 0.000, 0.000
-3.500, 696.750, 1.000, 1.000, 0.000, 0.000
-3.000, 395.000, 1.000, 1.000, 0.000, 0.000
-2.500, 205.750, 1.000, 1.000, 0.000, 0.000
-2.000, 96.000, 1.000, 1.000, 0.000, 0.000
-1.500, 38.750, 1.000, 1.000, 0.000, 0.000
-1.000, 13.000, 1.000, 1.000, 0.000, 0.000
-0.500, 3.750, 1.000, 1.000, 0.000, 0.000
0.000, 2.000, 1.000, 0.000, 1.000, 0.000
0.500, 4.750, 1.000, 0.000, 1.000, 0.000
1.000, 15.000, 1.000, 0.000, 1.000, 0.000
1.500, 41.750, 1.000, 0.000, 1.000, 0.000
2.000, 100.000, 1.000, 0.000, 1.000, 0.000
2.500, 210.750, 1.000, 0.000, 1.000, 0.000
3.000, 401.000, 1.000, 0.000, 1.000, 0.000
3.500, 703.750, 1.000, 0.000, 1.000, 0.000
4.000, 1158.000, 1.000, 0.000, 1.000, 0.000
4.500, 1808.750, 1.000, 0.000, 1.000, 0.000
5.000, 2707.000, 1.000, 0.000, 1.000, 0.000
5.500, 3909.750, 1.000, 0.000, 1.000, 0.000
6.000, 5480.000, 1.000, 0.000, 1.000, 0.000
